File Version;BWSpec 3.27
Date;2017-08-22 14:46:06
title;ZEWN+LZX
model;BRC112P+BTC261E_512
c code;ZEWN+LZX
operator;
port1;0
baud1;3
pixel_start;0
pixel_end;1844
step;1
units;1
bkcolor;16777215
show_mode;5
data_mode;0
pixel_mode;0
intigration times;150
average number;1
spectrometer_type ;0
yaxis;1
yaxis_min;-0.200000000000045
yaxis_max;0.5
xaxis;0
xaxis_min;0
xaxis_max;1844
irrands_DispWLMin;0
irrands_DispWLMax;0
yaxis_min_6;0
yaxis_max_6;5
irradiance_unit;0
coefs_a0;0
coefs_a1;0
coefs_a2;0
coefs_a3;0
coefs_b0;0
coefs_b1;0
coefs_b2;0
coefs_b3;0
all_data_save;1
select_option;-1
interval_time;1
pixel_num;1845
sel_pixel_start;0
sel_pixel_end;1844
sel_pixel_delta;1
dark_compensate;0
dark_compensate_value_1;0
dark_compensate_value_2;0
dark_compensate_value_3;0
monitor pixel_0;0
monitor pixel_1;0
monitor pixel_2;0
monitor pixel_3;0
monitor pixel_4;0
monitor pixel_5;0
vertical_select_flag;0
vertical_line3;0
vertical_line4;0
vertical_line3_wv;0
vertical_line4_wv;0
vertical_line_flag;0
vertical_line_ratio;0
laser_wavelength;0
overlay_js;0
Relative Intensity Correction Flag;0
combined channel;1
Pixel;Wavelength;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Raw data #2;Dark Subtracted #2;%TR #2;Absorbance #2;Raw data #3;Dark Subtracted #3;%TR #3;Absorbance #3;Lamp FitCurve;Irradiance Ratio;Irradiance_1(W/cm^2/nm);Irradiance_2(W/cm^2/nm);Irradiance_3(W/cm^2/nm)
64;377.55;1310.0400;3661.2400;3128.28;1818.2400;77.3324;0.1116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
65;377.98;1335.8000;3932.3600;3343.32;2007.5200;77.3146;0.1117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
66;378.42;1360.7600;4236.6800;3582.20;2221.4400;77.2428;0.1121;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
67;378.85;1383.4800;4575.4000;3840.84;2457.3600;76.9869;0.1136;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
68;379.28;1413.2400;4938.3600;4119.64;2706.4000;76.7747;0.1148;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
69;379.71;1443.6400;5330.4400;4425.08;2981.4400;76.7068;0.1152;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
70;380.14;1479.6400;5764.4400;4764.52;3284.8800;76.6636;0.1154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
71;380.57;1516.1200;6242.1200;5128.36;3612.2400;76.4333;0.1167;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
72;381.00;1562.2000;6752.5200;5530.52;3968.3200;76.4562;0.1166;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
73;381.43;1613.8000;7308.3600;5957.00;4343.2000;76.2693;0.1177;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
74;381.86;1668.9200;7906.5200;6400.04;4731.1200;75.8484;0.1201;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
75;382.29;1731.4000;8541.4800;6888.20;5156.8000;75.7230;0.1208;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
76;382.72;1800.6000;9215.0800;7413.40;5612.8000;75.7005;0.1209;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
77;383.15;1887.5600;9926.6000;7960.52;6072.9600;75.5433;0.1218;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
78;383.58;1971.4800;10647.0400;8514.96;6543.4800;75.4243;0.1225;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
79;384.01;2051.8800;11389.4400;9083.12;7031.2400;75.3006;0.1232;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
80;384.44;2146.4400;12166.4000;9669.52;7523.0800;75.0809;0.1245;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
81;384.87;2243.4000;12926.0000;10252.04;8008.6400;74.9690;0.1251;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
82;385.30;2350.4400;13723.2000;10864.20;8513.7600;74.8610;0.1257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
83;385.73;2450.9200;14505.3600;11463.80;9012.8800;74.7681;0.1263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
84;386.16;2558.5200;15272.4000;12045.32;9486.8000;74.6177;0.1272;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
85;386.59;2669.0800;15999.8800;12627.96;9958.8800;74.7058;0.1266;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
86;387.02;2780.2000;16709.8800;13179.40;10399.2000;74.6550;0.1269;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
87;387.45;2879.4800;17353.8000;13679.96;10800.4800;74.6182;0.1272;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
88;387.88;2977.6400;17948.8400;14146.68;11169.0400;74.6035;0.1272;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
89;388.31;3077.8800;18475.5600;14558.76;11480.8800;74.5624;0.1275;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
90;388.74;3165.7200;18895.8200;14879.00;11713.2800;74.4641;0.1281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
91;389.17;3253.5600;19316.0800;15199.24;11945.6800;74.3699;0.1286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
92;389.60;3335.3200;19624.3200;15432.04;12096.7200;74.2631;0.1292;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
93;390.03;3405.1600;19842.4800;15614.04;12208.8800;74.2754;0.1292;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
94;390.45;3459.7200;19984.6400;15724.04;12264.3200;74.2171;0.1295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
95;390.88;3508.2800;20039.4400;15769.16;12260.8800;74.1683;0.1298;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
96;391.31;3549.7200;20016.5600;15751.72;12202.0000;74.1004;0.1302;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
97;391.74;3589.0800;19920.5600;15664.84;12075.7600;73.9416;0.1311;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
98;392.17;3611.4800;19743.6000;15531.80;11920.3200;73.8918;0.1314;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
99;392.60;3629.0000;19500.5600;15359.80;11730.8000;73.9108;0.1313;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
100;393.03;3633.9600;19172.0800;15113.20;11479.2400;73.8779;0.1315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
101;393.46;3629.9600;18783.2800;14807.12;11177.1600;73.7605;0.1322;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
102;393.89;3611.4000;18333.8400;14461.52;10850.1200;73.6978;0.1325;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
103;394.31;3589.5600;17842.8400;14077.00;10487.4400;73.5791;0.1332;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
104;394.74;3565.7200;17309.2400;13669.72;10104.0000;73.5183;0.1336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
